timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.251,1.539,-1.057,0.187,-0.216,1.064,-0.648,0.082,0.135,0.188,0.302,0.684,0.274,-0.355,0.427,-0.056,-0.026,-0.005,0.12,-0.006,0.254,0.311,0.126,-0.164,-0.047,0.112,-0.1,0.533,0.217,-0.007,0.049,-0.176,0.022,0.224,0.166,-0.064,-0.017,-0.294,0.003,0.228,0.509,0.15,0.262,0.25,-0.339,-0.113,0.256,-0.353,0.029,0.178,-0.332,0.123,-0.091,-0.238,-0.16,-0.032,0.17,-0.322,-0.069,-0.1,0.266,-0.098,0.043,-0.168,-0.366,-0.046,-0.125,0.008,-0.07,0.152
50,1.861,1.305,-0.962,-0.206,-0.026,1.09,-0.037,0.111,-0.203,0.399,0.33,1.124,0.119,0.238,0.298,0.065,0.019,-0.073,0.055,0.137,0.002,0.034,-0.073,-0.139,0.31,-0.191,-0.122,0.201,0.427,0.017,0.292,0.14,0.031,0.273,-0.261,0.021,0.167,-0.005,-0.175,-0.191,-0.035,-0.209,0.38,0.267,-0.233,-0.089,0.02,0.046,0.241,0.215,-0.129,0.021,-0.035,0.132,-0.1,-0.109,0.097,-0.185,0.124,-0.194,0.096,-0.174,0.064,-0.041,-0.157,-0.05,-0.059,-0.018,0.076,0.135
100,1.44,1.793,-0.926,-0.076,-0.296,1.522,-0.601,0.403,0.085,0.589,0.277,0.857,0.325,-0.269,0.828,0.134,0.111,-0.031,0.231,-0.143,0.035,0.298,-0.119,-0.107,0.4,-0.127,0.184,0.1,0.488,-0.251,0.423,-0.346,-0.025,0.113,-0.005,0.125,-0.06,0.081,-0.058,-0.032,0.057,-0.268,0.238,0.107,-0.119,-0.048,-0.223,0.012,0.12,-0.076,-0.282,0.114,0.039,-0.01,0.1,-0.099,0.016,-0.146,-0.029,-0.052,0.09,-0.087,-0.033,-0.123,-0.129,0.019,-0.044,0.001,0.013,0.116
150,1.156,1.9,-0.984,0.055,-0.228,1.381,-1.006,0.464,0.114,0.467,0.289,0.577,0.29,-0.611,0.938,0.197,-0.049,-0.026,0.077,-0.064,0.15,0.42,0.02,-0.119,0.214,0.044,0.171,0.33,0.229,-0.058,0.249,-0.582,-0.132,-0.178,0.189,0.038,0.036,-0.013,-0.043,0.144,0.325,-0.218,0.28,0.115,-0.089,-0.174,-0.077,-0.459,0.211,-0.176,-0.357,-0.026,-0.21,-0.204,0.118,0.126,0.025,-0.164,-0.138,0.023,0.106,-0.113,-0.007,-0.17,-0.265,0.013,-0.092,0.01,-0.103,0.116
200,1.59,1.266,-0.95,-0.035,0.036,1.004,-0.186,0.221,-0.135,0.555,0.383,0.83,0.057,0.034,0.411,0.116,0.132,-0.139,-0.04,0.156,0.152,0.132,-0.091,-0.108,0.162,-0.188,-0.013,0.22,0.258,0.094,0.278,0.126,0.086,0.113,-0.11,0.071,0.183,-0.104,0.054,0.068,0.075,-0.064,0.271,0.319,-0.046,0.05,-0.082,0.141,0.013,0.159,-0.024,0.135,0.142,0.173,-0.195,-0.156,0.05,-0.104,0.031,-0.232,0.158,-0.198,0.013,0.051,-0.243,-0.114,-0.006,-0.023,0.066,0.087
250,1.725,1.445,-1.027,-0.203,-0.121,1.456,-0.146,0.069,0.009,0.689,0.452,1.108,0.371,0.065,0.575,0.111,-0.011,-0.104,0.119,0.093,0.035,0.079,-0.093,-0.258,0.268,-0.21,-0.181,0.136,0.523,-0.024,0.356,0.118,0.096,0.248,-0.295,0.123,0.157,0.007,-0.033,-0.246,-0.054,-0.18,0.478,0.115,-0.215,-0.047,-0.163,0.298,0.185,0.095,-0.047,0.163,0.107,0.12,-0.081,-0.112,0.034,-0.18,0.109,-0.296,0.024,-0.258,-0.031,-0.002,-0.074,-0.003,0.023,0.032,0.139,0.137
300,1.42,1.556,-0.953,-0.102,0.007,0.962,-0.477,0.303,-0.089,0.654,0.33,0.918,-0.054,0.018,0.565,0.263,0.166,-0.221,-0.061,0.364,0.203,0.336,-0.168,-0.137,0.209,-0.101,-0.018,0.243,0.062,0.12,0.368,0.086,0.076,0.092,-0.008,0.017,0.472,-0.034,0.004,-0.014,0.114,-0.028,0.332,0.218,-0.163,0.033,0.183,0.118,0.069,0.175,0.02,0.026,0.112,0.183,-0.178,-0.148,-0.036,-0.142,0.154,-0.303,0.101,-0.181,-0.017,0.076,-0.207,-0.125,0.019,0.005,0.019,0.042
350,1.594,1.606,-0.821,-0.014,-0.076,1.209,-0.581,0.445,-0.164,0.354,0.294,0.726,0.146,-0.431,0.571,0.2,0.004,-0.041,-0.122,0.068,-0.027,0.114,0.025,-0.035,0.381,-0.141,0.141,0.123,0.302,0.022,0.245,-0.206,-0.118,-0.042,0.044,-0.011,-0.035,0.003,-0.153,0.019,0.035,-0.19,0.221,0.233,-0.046,-0.079,-0.158,-0.365,0.186,-0.033,-0.293,0.073,-0.108,-0.077,0.08,-0.145,-0.002,-0.154,0.038,-0.058,0.155,-0.044,0.105,-0.19,-0.215,-0.018,-0.157,0.028,-0.062,0.114
400,1.722,1.693,-0.769,-0.134,-0.227,1.456,-0.104,0.561,-0.112,0.549,0.363,0.944,0.384,-0.304,0.645,-0.041,0.007,-0.108,-0.01,-0.126,-0.3,-0.142,-0.195,-0.056,0.787,-0.37,0.11,-0.095,0.427,-0.13,0.543,-0.641,-0.09,-0.209,0.018,0.227,-0.331,0.168,-0.249,-0.045,-0.145,-0.431,0.138,0.174,0.041,-0.011,-0.692,-0.212,-0.018,-0.291,-0.332,0.028,-0.198,-0.07,0.406,0.237,-0.007,-0.081,-0.197,0.183,-0.172,-0.036,-0.096,-0.141,0.178,0.05,-0.145,-0.004,0.067,0.133
450,1.76,1.562,-0.783,-0.197,-0.233,1.34,-0.204,0.144,-0.115,0.657,0.474,1.311,0.218,-0.02,0.536,0.166,0.168,-0.114,0.086,0.165,0.011,0.166,-0.146,-0.115,0.216,-0.183,0.047,0.038,0.32,0.044,0.623,-0.171,0.105,0.167,-0.034,0.13,0.213,0.101,-0.077,-0.032,-0.044,-0.304,0.348,0.279,-0.063,0.021,-0.238,0.148,0.189,-0.057,-0.041,0.113,-0.005,0.223,-0.085,-0.144,-0.074,-0.118,-0.011,-0.113,0.045,-0.1,0.077,-0.01,-0.035,-0.054,0.033,-0.004,0.081,0.043
