timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,2.033,2.133,-0.862,-0.428,-0.335,1.622,-0.056,0.794,-0.083,0.726,0.59,1.022,0.466,-0.199,0.9,-0.046,0.009,-0.176,0.078,-0.096,-0.287,-0.174,-0.111,-0.152,0.813,-0.47,0.042,0.066,0.562,-0.188,0.599,-0.414,-0.025,-0.124,-0.089,0.247,-0.228,-0.12,-0.131,-0.166,-0.139,-0.334,0.409,0.121,0.076,-0.051,-0.619,-0.039,-0.041,0.025,-0.279,0.117,-0.088,0.058,0.33,0.104,0.053,-0.161,-0.034,0.157,-0.176,-0.106,-0.055,-0.081,0.275,0.129,-0.248,0.026,0.186,0.145
50,1.758,1.532,-0.914,-0.315,0.041,1.159,-0.385,0.274,-0.108,0.786,0.284,0.807,-0.068,0.257,0.766,0.446,0.291,-0.065,-0.039,0.249,0.083,0.19,-0.239,-0.211,0.298,-0.119,-0.02,0.139,0.176,0.106,0.427,0.325,0.111,0.23,-0.157,0.056,0.462,-0.237,0.153,0.026,-0.019,-0.151,0.445,0.387,0.073,0.085,-0.174,0.227,0.104,0.253,0.021,0.276,0.124,0.29,-0.191,-0.352,-0.001,-0.162,0.151,-0.152,-0.031,-0.216,0.111,0.093,-0.051,-0.102,-0.05,-0.028,0.168,0.113
100,1.506,1.641,-0.804,-0.207,-0.05,1.126,-0.532,0.394,-0.045,0.463,0.27,0.923,0.146,-0.217,0.653,0.242,0.069,-0.137,-0.052,0.196,0.137,0.204,-0.033,-0.014,0.196,-0.134,0.072,0.181,0.366,0.086,0.239,-0.216,0.124,0.027,0.032,0.014,0.123,0.177,0.054,0.029,0.208,0.016,0.195,0.277,-0.297,-0.093,0.076,-0.002,0.05,0.129,-0.168,0.012,-0.031,-0.012,-0.23,-0.18,0.084,-0.146,0.078,-0.092,0.151,-0.091,0.136,-0.069,-0.215,-0.113,-0.114,-0.064,0.052,0.097
150,1.676,1.617,-0.813,-0.255,-0.162,1.175,-0.047,0.462,-0.066,0.606,0.251,1.117,0.087,0.142,0.802,0.277,0.139,-0.16,-0.003,0.234,-0.189,0.198,-0.233,-0.166,0.4,-0.349,0.083,-0.098,0.24,0.106,0.432,-0.185,0.231,0.067,-0.104,0.151,0.237,0.063,-0.004,-0.041,-0.175,-0.31,0.301,0.217,0.111,0.103,-0.304,0.044,0.182,-0.061,-0.005,0.049,-0.097,0.26,-0.014,-0.065,-0.061,-0.039,0.045,-0.052,-0.028,-0.146,0.007,0.112,0.075,-0.089,-0.001,-0.051,0.12,0.063
200,1.84,1.536,-0.923,-0.191,-0.334,1.271,-0.159,0.2,-0.073,0.485,0.38,0.833,0.205,-0.006,0.468,-0.034,0.009,-0.101,0.029,0.049,-0.007,-0.022,-0.164,-0.14,0.247,-0.174,-0.073,0.31,0.38,-0.08,0.33,-0.107,0.076,0.15,-0.067,0.097,-0.078,-0.158,0.019,0.038,0.103,-0.133,0.34,0.152,-0.104,-0.065,0.011,0.159,0.008,0.193,-0.173,0.208,0.087,0.133,-0.112,-0.204,0.1,-0.168,0.113,-0.131,0.07,-0.092,0.002,-0.02,-0.06,0.004,-0.083,-0.006,0.106,0.157
250,1.589,1.518,-0.911,-0.132,-0.255,1.284,-0.274,0.385,0.051,0.438,0.372,0.759,0.336,-0.245,0.685,0.001,0.007,-0.108,0.026,-0.152,-0.114,0.072,-0.052,-0.046,0.31,-0.21,0.103,0.025,0.329,-0.046,0.345,-0.464,0.185,-0.016,0.063,0.111,-0.101,0.026,0.01,0.106,0.23,-0.168,0.285,0.16,-0.033,-0.016,-0.194,-0.187,0.099,0.04,-0.232,0.064,-0.085,-0.033,0.003,-0.01,0.012,-0.182,-0.001,-0.043,-0.039,-0.092,0.054,-0.111,-0.037,0.015,-0.15,-0.058,0.078,0.088
300,1.37,1.306,-0.821,-0.131,-0.08,0.879,-0.279,0.322,-0.098,0.359,0.219,0.888,0.085,-0.092,0.497,0.234,0.178,-0.13,-0.039,0.268,0.139,0.261,-0.159,-0.065,0.183,-0.106,0.062,0.106,0.15,0.095,0.205,-0.113,0.02,0.015,0.002,0.083,0.19,0.044,0.021,0.101,0.258,-0.012,0.224,0.372,-0.199,-0.144,0.033,-0.018,0.074,0.17,-0.089,0.096,0.032,0.06,-0.185,-0.236,-0.003,-0.118,0.139,-0.177,0.109,-0.147,0.113,-0.006,-0.198,-0.078,-0.109,-0.08,0.05,0.135
350,1.454,1.85,-0.912,-0.083,-0.265,1.386,-0.354,0.507,0.068,0.44,0.387,0.756,0.364,-0.229,0.747,-0.047,-0.01,0.059,0.212,-0.055,-0.15,-0.007,0.013,-0.226,0.396,-0.238,-0.031,0.132,0.528,-0.087,0.368,-0.168,0.043,0.038,-0.058,0.171,-0.046,-0.072,-0.023,0.048,0.058,-0.167,0.28,0.172,-0.128,-0.025,-0.191,0.042,0.025,0.129,-0.209,0.186,0.031,0.08,-0.024,-0.057,0.081,-0.162,0.054,-0.078,0.051,-0.156,0.044,-0.063,-0.063,-0.025,-0.131,-0.023,0.069,0.132
400,1.304,1.962,-1.058,-0.126,-0.349,1.454,-0.294,0.51,0.074,0.582,0.515,0.667,0.261,-0.239,0.521,-0.087,-0.015,0.118,0.015,-0.017,-0.332,-0.094,0.061,-0.31,0.496,-0.179,-0.102,0.247,0.587,-0.093,0.521,0.079,-0.083,0.222,-0.314,0.174,-0.022,-0.545,-0.109,-0.112,-0.212,-0.336,0.452,0.183,0.197,-0.053,-0.227,0.009,0.053,0.143,-0.229,0.346,-0.046,0.179,0.037,-0.074,0.063,-0.114,0.035,-0.199,0.049,-0.165,0.048,-0.027,0.014,-0.133,-0.155,0.047,0.139,0.118
450,1.412,1.521,-1.012,-0.156,-0.181,1.164,-0.285,0.191,0.064,0.483,0.442,0.897,0.206,-0.181,0.424,-0.089,-0.035,-0.134,0.019,0.043,-0.004,0.108,-0.051,-0.135,0.318,-0.154,-0.148,0.232,0.287,-0.027,0.284,-0.15,0.067,0.13,-0.048,0.073,-0.006,-0.162,-0.097,-0.047,0.057,-0.198,0.294,0.201,-0.017,-0.079,-0.128,-0.056,0.086,0.209,-0.224,0.283,0.038,0.109,-0.006,-0.174,0.081,-0.196,0.074,-0.175,0.119,-0.134,0.047,-0.079,-0.215,-0.018,-0.114,0.035,0.039,0.167
