timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.434,1.811,-0.897,0.02,-0.276,1.393,-0.52,0.492,0.067,0.435,0.425,0.623,0.438,-0.674,0.593,-0.134,-0.295,-0.081,0.005,-0.232,-0.063,0.115,-0.023,0.043,0.393,-0.149,0.119,0.253,0.348,-0.134,0.314,-0.46,-0.109,-0.09,0.134,0.129,-0.391,0.093,-0.199,0.151,0.143,-0.147,0.133,0.294,-0.131,-0.16,-0.414,-0.427,0.185,-0.28,-0.285,-0.1,-0.196,-0.247,0.228,0.135,0.017,-0.093,-0.172,0.108,0.037,-0.03,-0.067,-0.234,-0.046,0.062,-0.175,0.026,-0.091,0.12
50,1.422,1.536,-0.701,-0.009,-0.037,0.975,-0.566,0.379,-0.023,0.416,0.267,0.848,0.095,-0.351,0.637,0.166,0.078,-0.152,0.046,0.062,0.249,0.429,-0.084,0.104,0.246,-0.085,0.206,0.097,0.091,-0.012,0.218,-0.492,-0.034,-0.153,0.298,-0.071,0.047,0.271,0.029,0.259,0.364,0.046,0.063,0.383,-0.212,-0.154,-0.005,-0.348,0.195,-0.083,-0.153,-0.168,-0.224,-0.273,-0.276,-0.07,0.097,-0.179,-0.077,-0.005,0.307,-0.034,0.169,-0.148,-0.411,-0.109,-0.147,-0.059,-0.162,0.075
100,1.72,1.513,-0.722,-0.121,0.035,1.16,-0.175,0.475,-0.276,0.711,0.365,1.091,0.058,0.068,0.532,0.376,0.085,-0.17,-0.19,0.169,0.059,0.1,-0.272,-0.178,0.415,-0.285,0.072,-0.053,0.413,0.015,0.361,0.019,-0.214,0.069,-0.131,0.173,0.073,0.255,-0.1,-0.17,-0.073,-0.265,0.281,0.376,-0.047,-0.092,-0.219,0.004,0.094,0.055,-0.089,-0.018,-0.037,0.14,-0.077,-0.061,-0.014,-0.1,0.18,-0.14,-0.012,-0.177,0.048,-0.039,-0.017,-0.03,0.011,-0.011,0.156,0.088
150,1.539,1.587,-0.951,-0.199,0.051,1.119,-0.294,0.508,-0.101,0.634,0.295,0.84,0.042,0.019,0.847,0.27,0.197,-0.078,-0.078,0.222,0.019,0.05,-0.342,-0.189,0.479,-0.303,0.049,-0.208,0.153,0.029,0.658,0.114,0.12,-0.035,-0.128,0.041,0.434,0.116,-0.018,-0.269,-0.164,-0.331,0.385,0.114,0.162,0.018,-0.256,0.399,0.188,0.049,0.069,0.089,0.044,0.418,-0.091,-0.139,-0.108,-0.055,0.158,-0.141,-0.056,-0.113,-0.021,0.107,0.028,-0.036,0.157,-0.051,0.113,0.012
200,1.391,1.723,-0.969,-0.069,-0.07,1.088,-0.777,0.474,-0.044,0.459,0.269,0.711,-0.016,-0.379,0.719,0.244,0.051,-0.174,-0.147,0.188,0.228,0.443,-0.055,-0.098,0.193,-0.136,0.223,0.234,0.177,0.09,0.163,-0.206,-0.004,-0.01,0.102,-0.034,0.226,0.041,0.047,-0.003,0.382,-0.005,0.372,0.432,-0.162,-0.069,0.109,-0.136,0.098,0.228,-0.163,0.098,-0.058,0.026,-0.249,-0.212,0.043,-0.166,0.105,-0.246,0.153,-0.176,0.124,-0.048,-0.3,-0.111,-0.139,-0.007,-0.009,0.032
250,1.306,1.574,-0.83,0.042,-0.198,1.156,-0.603,0.348,0.017,0.386,0.361,0.603,0.145,-0.373,0.522,0.077,0.042,-0.075,0.005,0.045,0.206,0.324,0.067,-0.172,0.129,-0.019,0.088,0.262,0.227,-0.103,0.303,-0.014,-0.029,0.037,-0.012,-0.015,0.077,-0.084,-0.021,0.014,0.268,-0.009,0.348,0.344,-0.131,-0.038,-0.069,-0.112,0.105,0.094,-0.157,0.073,0.071,-0.046,-0.099,-0.186,-0.02,-0.116,0.091,-0.209,0.176,-0.167,0.067,-0.097,-0.284,-0.088,-0.007,-0.024,-0.06,0.091
300,1.573,1.72,-0.864,-0.275,-0.13,1.333,-0.162,0.398,-0.083,0.61,0.35,1.111,0.316,0.053,0.653,0.186,0.142,-0.154,0.008,0.115,-0.068,0.055,-0.227,-0.109,0.386,-0.264,-0.073,0.038,0.26,0.076,0.551,-0.059,0.168,0.148,0.017,-0.003,0.149,-0.004,-0.043,-0.21,-0.139,-0.297,0.355,0.096,-0.036,0.043,-0.203,0.087,0.116,-0.035,-0.18,0.081,-0.06,0.119,0.061,-0.034,0.044,-0.038,0.039,-0.012,-0.031,-0.04,0.048,-0.052,0.03,-0.107,-0.013,-0.027,0.092,0.035
350,1.826,1.539,-0.935,-0.177,0.021,1.418,-0.148,0.626,-0.074,0.808,0.369,0.984,0.063,0.145,0.715,0.454,0.216,-0.156,-0.189,0.168,-0.017,0.028,-0.203,-0.202,0.622,-0.411,0.18,-0.224,0.53,-0.003,0.608,0.061,-0.025,0.285,-0.223,0.288,0.267,0.14,-0.105,-0.335,-0.272,-0.447,0.445,0.296,-0.011,0.175,-0.263,0.51,-0.112,0.222,0.131,0.236,0.214,0.606,-0.15,-0.216,-0.125,-0.097,0.203,-0.367,-0.094,-0.23,-0.061,0.133,-0.008,-0.107,0.059,-0.013,0.266,0.078
400,1.536,1.692,-0.871,-0.139,-0.105,1.156,-0.662,0.363,-0.117,0.45,0.2,0.939,0.124,-0.23,0.671,0.286,0.047,-0.134,-0.049,0.112,0.052,0.267,-0.136,-0.094,0.275,-0.146,0.256,0.12,0.18,0.053,0.283,-0.367,-0.045,0.011,0.12,-0.043,0.175,0.157,-0.013,-0.058,0.245,-0.166,0.16,0.249,-0.073,-0.03,-0.154,-0.199,0.17,-0.039,-0.118,-0.071,-0.147,-0.09,-0.143,0.006,0.071,-0.149,-0.033,0.041,0.082,-0.043,0.135,-0.096,-0.157,-0.095,-0.066,-0.055,-0.087,0.049
450,1.5,1.616,-0.745,-0.154,0.02,1.019,-0.871,0.439,0.031,0.73,0.001,0.863,-0.047,-0.082,1.048,0.855,0.388,-0.231,-0.081,0.372,0.335,0.644,-0.169,-0.112,0.086,-0.009,0.253,0.054,-0.171,0.255,0.303,-0.074,0.083,0.216,0.17,-0.059,0.806,0.134,0.123,0.082,0.27,-0.055,0.397,0.491,-0.221,0.029,0.167,0.01,0.213,0.133,-0.061,-0.072,-0.007,0.003,-0.291,-0.152,0.064,-0.149,0.025,-0.026,0.118,-0.124,0.132,0.038,-0.325,-0.148,-0.03,-0.025,-0.089,0.036
