timestamp,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69
0,1.452,1.949,-0.926,-0.322,-0.084,1.318,-0.429,0.806,-0.125,0.663,0.343,1.083,0.229,-0.324,0.879,0.084,0.052,-0.122,-0.277,0.146,-0.128,-0.083,-0.262,-0.053,0.829,-0.504,0.181,-0.132,0.465,-0.003,0.551,-0.598,-0.257,-0.426,0.065,0.128,-0.15,0.298,-0.171,-0.138,-0.201,-0.416,0.068,0.123,0.085,-0.075,-0.525,-0.071,0.144,-0.247,-0.16,-0.14,-0.152,-0.081,0.144,0.114,0.002,-0.075,-0.025,0.163,-0.094,-0.08,0.032,-0.11,0.066,0.014,-0.099,0.025,0.027,0.093
50,1.732,1.86,-0.879,-0.171,-0.259,1.625,-0.124,0.56,-0.035,0.524,0.633,1.007,0.437,-0.334,0.518,-0.188,-0.154,-0.028,-0.071,-0.091,-0.261,-0.164,-0.177,-0.193,0.667,-0.369,-0.07,0.132,0.495,-0.142,0.531,-0.126,-0.07,-0.182,-0.034,0.091,-0.344,-0.029,-0.195,-0.063,-0.02,-0.323,0.314,0.26,0.017,-0.15,-0.4,-0.126,0.104,-0.046,-0.321,-0.042,-0.175,-0.205,0.234,0.124,0.118,-0.212,-0.117,0.254,-0.047,-0.032,0.037,-0.206,0.177,0.06,-0.267,0.007,-0.03,0.108
100,1.92,1.617,-0.982,-0.414,-0.101,1.643,0.329,0.6,-0.199,0.763,0.502,1.161,0.365,0.155,0.674,0.033,-0.002,0.069,0.097,-0.011,-0.314,-0.259,-0.278,-0.208,0.778,-0.542,0.079,-0.247,0.695,-0.168,0.779,-0.022,0.025,0.177,-0.367,0.249,-0.11,-0.057,-0.124,-0.307,-0.415,-0.459,0.357,0.071,0.099,0.172,-0.521,0.271,-0.044,-0.031,-0.128,0.178,0.078,0.294,0.368,0.02,-0.051,-0.034,0.05,0.034,-0.279,-0.155,-0.19,0.071,0.391,0.054,0.031,-0.005,0.268,0.068
150,1.67,1.59,-0.731,-0.119,-0.137,1.057,-0.41,0.576,-0.226,0.415,0.324,0.803,0.002,-0.255,0.55,0.192,0.035,-0.091,-0.119,0.14,-0.053,0.159,-0.078,-0.088,0.31,-0.172,0.182,0.153,0.365,0.056,0.185,-0.204,0.042,-0.057,-0.062,0.049,0.132,-0.004,0.023,0.058,0.234,-0.06,0.208,0.324,-0.041,-0.013,-0.125,-0.221,0.196,0.019,-0.199,-0.045,-0.128,-0.069,-0.099,-0.09,0.029,-0.137,0.013,-0.065,0.091,-0.125,0.123,-0.073,-0.14,-0.104,-0.192,-0.043,0.011,0.108
200,1.5,1.774,-1.003,-0.048,-0.156,1.146,-0.803,0.44,-0.003,0.327,0.279,1.081,0.197,-0.522,0.574,-0.006,-0.027,-0.082,-0.086,0.076,0.158,0.201,-0.023,-0.114,0.34,-0.072,0.174,0.3,0.288,0.017,0.317,-0.451,-0.108,-0.025,0.112,0.069,-0.058,-0.102,-0.119,0.067,0.343,-0.056,0.192,0.146,-0.064,-0.092,-0.153,-0.411,0.079,0.033,-0.271,0.031,-0.07,-0.142,0.085,0.01,0.008,-0.127,-0.04,-0.108,0.105,-0.108,0.046,-0.187,-0.27,-0.107,-0.136,0.029,-0.089,0.073
250,1.598,1.746,-0.744,-0.307,-0.178,1.477,-0.236,0.73,-0.156,0.52,0.37,1.196,0.423,-0.465,0.761,-0.013,-0.04,-0.139,-0.162,-0.042,-0.302,-0.138,-0.124,-0.109,0.833,-0.507,0.247,-0.026,0.642,-0.064,0.562,-0.609,-0.172,-0.2,0.084,0.112,-0.331,0.27,-0.34,-0.314,-0.243,-0.517,0.127,0.087,0.105,-0.044,-0.54,-0.285,0.11,-0.294,-0.272,-0.107,-0.248,-0.028,0.279,0.195,-0.008,-0.072,-0.106,0.286,-0.115,0.013,0.049,-0.134,0.066,0.028,-0.071,0.006,-0.002,0.002
300,1.583,1.467,-0.923,-0.108,-0.048,1.245,-0.591,0.323,-0.087,0.391,0.323,0.945,0.203,-0.435,0.604,0.085,0.076,0.024,0.04,0.062,-0.028,0.177,0.101,-0.155,0.241,-0.098,0.108,0.329,0.431,-0.063,0.203,-0.341,0.066,0.029,-0.054,-0.006,0.084,-0.046,-0.072,0.192,0.223,-0.025,0.263,0.297,0.046,-0.057,-0.223,-0.318,0.212,-0.071,-0.132,0.002,-0.093,-0.017,-0.054,-0.033,-0.08,-0.06,-0.031,-0.158,0.049,-0.136,0.033,-0.118,-0.142,-0.073,-0.088,-0.013,-0.036,0.086
350,1.415,1.783,-0.833,-0.089,-0.017,1.096,-0.939,0.638,-0.069,0.521,0.181,0.581,0.036,-0.561,0.814,0.323,0.132,0.002,-0.008,0.106,0.099,0.336,0.055,-0.061,0.389,-0.13,0.267,0.18,0.249,-0.036,0.295,-0.469,-0.121,0.019,0.111,-0.024,0.104,-0.08,-0.019,0.259,0.272,-0.009,0.179,0.354,0.069,-0.044,-0.111,-0.43,0.083,-0.021,-0.243,-0.013,-0.184,-0.19,-0.11,-0.055,0.051,-0.126,-0.019,0.046,0.088,-0.115,0.186,-0.115,-0.192,-0.081,-0.111,-0.075,-0.059,0.056
400,1.598,1.318,-0.905,-0.098,-0.045,1.217,-0.009,0.241,-0.205,0.563,0.312,1.112,0.13,0.24,0.354,0.192,0.103,-0.091,0.009,0.119,0.077,-0.034,-0.231,-0.165,0.376,-0.264,-0.103,0.127,0.374,0.004,0.497,0.106,0.101,0.13,-0.176,0.109,0.148,-0.202,0.026,-0.164,-0.108,-0.235,0.483,0.01,-0.139,0.091,-0.065,0.36,-0.085,0.12,0.028,0.181,0.168,0.294,0.073,-0.098,-0.077,-0.086,0.091,-0.207,-0.116,-0.1,-0.044,0.037,0.006,-0.139,0.016,0.011,0.203,0.058
450,1.534,1.35,-0.781,-0.027,-0.066,0.944,-0.323,0.356,-0.147,0.386,0.215,0.757,-0.011,-0.115,0.548,0.222,0.061,-0.047,-0.036,0.211,0.118,0.156,-0.167,-0.046,0.268,-0.168,0.169,0.013,0.237,-0.003,0.31,-0.08,0.043,0.056,-0.195,0.02,0.284,-0.01,0.035,0.024,0.098,-0.024,0.268,0.334,-0.001,0.071,-0.262,0.017,0.048,0.004,-0.029,0.085,0.014,0.058,-0.131,-0.15,-0.018,-0.082,0.023,-0.058,0.004,-0.148,0.081,0.049,-0.052,-0.09,-0.018,-0.081,0.086,0.06
